Абитуриент 5,74,10,3
Абитуриент 6,74,10,7
Абитуриент 512,74,10,6
Абитуриент 538,72,10,4
Абитуриент 235,71,10,
Абитуриент 819,71,10,
Абитуриент 354,69,10,3
Абитуриент 428,69,10,1
Абитуриент 839,69,10,5
Абитуриент 900,69,10,
Абитуриент 66,68,10,7
Абитуриент 151,68,10,3
Абитуриент 106,67,10,2
Абитуриент 920,67,10,2
Абитуриент 447,66,10,8
Абитуриент 45,65,10,2
Абитуриент 635,65,10,6
Абитуриент 837,65,10,3
Абитуриент 1005,65,10,
Абитуриент 363,63,10,7
Абитуриент 356,62,10,9
Абитуриент 514,62,10,1
Абитуриент 918,62,10,8
Абитуриент 433,61,10,2
Абитуриент 569,60,10,6
Абитуриент 580,60,10,9
Абитуриент 19,59,10,3
Абитуриент 53,59,9,10
Абитуриент 142,59,10,2
Абитуриент 1024,59,10,7
Абитуриент 140,57,10,7
Абитуриент 145,56,10,4
Абитуриент 212,55,10,5
Абитуриент 669,55,9,10
Абитуриент 600,50,10,5
Абитуриент 759,50,9,10
Абитуриент 854,50,10,2
Абитуриент 112,49,9,10
Абитуриент 253,49,10,7
Абитуриент 765,49,10,9
Абитуриент 114,59,9,,НЕ ПОСТУПИЛ_9_
Абитуриент 845,57,9,,НЕ ПОСТУПИЛ_9_
Абитуриент 890,55,9,,НЕ ПОСТУПИЛ_9_
Абитуриент 973,53,9,,НЕ ПОСТУПИЛ_9_
Абитуриент 415,50,1,,НЕ ПОСТУПИЛ_1_
Абитуриент 822,49,10,9,ПОД ВОПРОСОМ НА ПРОГРАММАХ 10
Абитуриент 407,48,5,,НЕ ПОСТУПИЛ_5_
Абитуриент 462,48,9,,НЕ ПОСТУПИЛ_9_
Абитуриент 706,48,9,,НЕ ПОСТУПИЛ_9_
Абитуриент 186,46,10,5,НЕ ПОСТУПИЛ_10_5
Абитуриент 671,46,10,5,НЕ ПОСТУПИЛ_10_5
Абитуриент 211,45,5,10,НЕ ПОСТУПИЛ_5_10
Абитуриент 605,45,7,,НЕ ПОСТУПИЛ_7_
Абитуриент 319,44,10,5,НЕ ПОСТУПИЛ_10_5
Абитуриент 610,44,1,,НЕ ПОСТУПИЛ_1_
Абитуриент 667,44,10,9,НЕ ПОСТУПИЛ_10_9
Абитуриент 290,43,10,9,НЕ ПОСТУПИЛ_10_9
Абитуриент 296,43,10,6,НЕ ПОСТУПИЛ_10_6
Абитуриент 532,43,10,8,НЕ ПОСТУПИЛ_10_8
Абитуриент 540,43,10,2,НЕ ПОСТУПИЛ_10_2
Абитуриент 622,43,6,,НЕ ПОСТУПИЛ_6_
Абитуриент 774,43,7,,НЕ ПОСТУПИЛ_7_
Абитуриент 887,43,10,1,НЕ ПОСТУПИЛ_10_1
Абитуриент 251,42,2,10,НЕ ПОСТУПИЛ_2_10
Абитуриент 568,42,7,10,НЕ ПОСТУПИЛ_7_10
Абитуриент 136,41,7,10,НЕ ПОСТУПИЛ_7_10
Абитуриент 288,41,7,10,НЕ ПОСТУПИЛ_7_10
Абитуриент 322,41,8,,НЕ ПОСТУПИЛ_8_
Абитуриент 878,40,10,9,НЕ ПОСТУПИЛ_10_9
Абитуриент 888,40,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 935,40,7,,НЕ ПОСТУПИЛ_7_
Абитуриент 171,39,1,10,НЕ ПОСТУПИЛ_1_10
Абитуриент 663,39,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 326,38,5,,НЕ ПОСТУПИЛ_5_
Абитуриент 627,38,9,10,НЕ ПОСТУПИЛ_9_10
Абитуриент 970,38,2,10,НЕ ПОСТУПИЛ_2_10
Абитуриент 395,37,10,5,НЕ ПОСТУПИЛ_10_5
Абитуриент 425,37,7,10,НЕ ПОСТУПИЛ_7_10
Абитуриент 553,37,7,,НЕ ПОСТУПИЛ_7_
Абитуриент 626,37,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 1,36,8,10,НЕ ПОСТУПИЛ_8_10
Абитуриент 353,36,6,,НЕ ПОСТУПИЛ_6_
Абитуриент 761,36,8,10,НЕ ПОСТУПИЛ_8_10
Абитуриент 928,36,10,2,НЕ ПОСТУПИЛ_10_2
Абитуриент 295,35,10,4,НЕ ПОСТУПИЛ_10_4
Абитуриент 487,35,8,10,НЕ ПОСТУПИЛ_8_10
Абитуриент 960,35,4,10,НЕ ПОСТУПИЛ_4_10
Абитуриент 389,34,7,,НЕ ПОСТУПИЛ_7_
Абитуриент 409,34,1,10,НЕ ПОСТУПИЛ_1_10
Абитуриент 588,34,1,,НЕ ПОСТУПИЛ_1_
Абитуриент 649,34,6,,НЕ ПОСТУПИЛ_6_
Абитуриент 70,33,10,1,НЕ ПОСТУПИЛ_10_1
Абитуриент 371,33,10,,НЕ ПОСТУПИЛ_10_
Абитуриент 371,33,10,,НЕ ПОСТУПИЛ_10_
Абитуриент 541,33,1,10,НЕ ПОСТУПИЛ_1_10
Абитуриент 613,33,10,8,НЕ ПОСТУПИЛ_10_8
Абитуриент 617,33,10,8,НЕ ПОСТУПИЛ_10_8
Абитуриент 1009,33,10,4,НЕ ПОСТУПИЛ_10_4
Абитуриент 47,32,9,,НЕ ПОСТУПИЛ_9_
Абитуриент 143,32,1,,НЕ ПОСТУПИЛ_1_
Абитуриент 581,32,9,10,НЕ ПОСТУПИЛ_9_10
Абитуриент 582,32,7,,НЕ ПОСТУПИЛ_7_
Абитуриент 32,31,2,,НЕ ПОСТУПИЛ_2_
Абитуриент 402,31,10,1,НЕ ПОСТУПИЛ_10_1
Абитуриент 591,31,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 676,31,10,3,НЕ ПОСТУПИЛ_10_3
Абитуриент 107,30,3,10,НЕ ПОСТУПИЛ_3_10
Абитуриент 418,30,10,8,НЕ ПОСТУПИЛ_10_8
Абитуриент 449,30,10,6,НЕ ПОСТУПИЛ_10_6
Абитуриент 535,30,5,10,НЕ ПОСТУПИЛ_5_10
Абитуриент 787,30,5,10,НЕ ПОСТУПИЛ_5_10
Абитуриент 846,30,10,8,НЕ ПОСТУПИЛ_10_8
Абитуриент 281,29,1,,НЕ ПОСТУПИЛ_1_
Абитуриент 331,29,10,4,НЕ ПОСТУПИЛ_10_4
Абитуриент 784,29,8,,НЕ ПОСТУПИЛ_8_
Абитуриент 825,29,2,,НЕ ПОСТУПИЛ_2_
Абитуриент 448,28,9,,НЕ ПОСТУПИЛ_9_
Абитуриент 570,28,10,3,НЕ ПОСТУПИЛ_10_3
Абитуриент 700,28,9,,НЕ ПОСТУПИЛ_9_
