Абитуриент 381,75,6,7
Абитуриент 632,73,6,
Абитуриент 62,72,6,1
Абитуриент 183,72,6,4
Абитуриент 375,72,6,8
Абитуриент 775,72,6,1
Абитуриент 967,72,6,8
Абитуриент 31,71,6,2
Абитуриент 860,70,6,7
Абитуриент 52,68,6,
Абитуриент 542,68,6,8
Абитуриент 958,68,6,4
Абитуриент 12,67,6,3
Абитуриент 180,64,6,3
Абитуриент 897,63,6,10
Абитуриент 343,62,6,3
Абитуриент 606,62,6,9
Абитуриент 618,62,6,7
Абитуриент 14,59,6,8
Абитуриент 492,59,6,9
Абитуриент 963,59,6,8
Абитуриент 917,58,9,6
Абитуриент 728,57,6,
Абитуриент 1025,57,9,6
Абитуриент 268,56,6,8
Абитуриент 189,54,6,3
Абитуриент 952,54,6,7
Абитуриент 726,53,9,6
Абитуриент 72,51,6,3
Абитуриент 217,50,6,9
Абитуриент 1002,49,6,8
Абитуриент 279,48,10,6
Абитуриент 96,47,6,2
Абитуриент 959,47,6,9
Абитуриент 995,47,6,3
Абитуриент 1017,47,6,
Абитуриент 804,46,6,5
Абитуриент 222,45,6,2
Абитуриент 341,45,6,5
Абитуриент 345,45,6,10
Абитуриент 579,45,10,6,ПОД ВОПРОСОМ НА ПРОГРАММАХ и 6
Абитуриент 420,44,6,9,НЕ ПОСТУПИЛ_6_9
Абитуриент 291,43,6,7,НЕ ПОСТУПИЛ_6_7
Абитуриент 296,43,10,6,НЕ ПОСТУПИЛ_10_6
Абитуриент 622,43,6,,НЕ ПОСТУПИЛ_6_
Абитуриент 123,41,1,6,НЕ ПОСТУПИЛ_1_6
Абитуриент 939,41,9,6,НЕ ПОСТУПИЛ_9_6
Абитуриент 105,40,7,6,НЕ ПОСТУПИЛ_7_6
Абитуриент 888,40,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 945,40,6,2,НЕ ПОСТУПИЛ_6_2
Абитуриент 663,39,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 841,39,1,6,НЕ ПОСТУПИЛ_1_6
Абитуриент 852,39,6,8,НЕ ПОСТУПИЛ_6_8
Абитуриент 247,38,6,7,НЕ ПОСТУПИЛ_6_7
Абитуриент 493,38,9,6,НЕ ПОСТУПИЛ_9_6
Абитуриент 626,37,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 743,37,8,6,НЕ ПОСТУПИЛ_8_6
Абитуриент 891,37,6,8,НЕ ПОСТУПИЛ_6_8
Абитуриент 353,36,6,,НЕ ПОСТУПИЛ_6_
Абитуриент 929,35,2,6,НЕ ПОСТУПИЛ_2_6
Абитуриент 49,34,6,8,НЕ ПОСТУПИЛ_6_8
Абитуриент 649,34,6,,НЕ ПОСТУПИЛ_6_
Абитуриент 699,34,2,6,НЕ ПОСТУПИЛ_2_6
Абитуриент 172,33,6,5,НЕ ПОСТУПИЛ_6_5
Абитуриент 267,33,2,6,НЕ ПОСТУПИЛ_2_6
Абитуриент 504,33,8,6,НЕ ПОСТУПИЛ_8_6
Абитуриент 798,33,6,5,НЕ ПОСТУПИЛ_6_5
Абитуриент 940,33,6,1,НЕ ПОСТУПИЛ_6_1
Абитуриент 942,33,6,4,НЕ ПОСТУПИЛ_6_4
Абитуриент 571,32,6,7,НЕ ПОСТУПИЛ_6_7
Абитуриент 92,31,6,8,НЕ ПОСТУПИЛ_6_8
Абитуриент 591,31,6,10,НЕ ПОСТУПИЛ_6_10
Абитуриент 449,30,10,6,НЕ ПОСТУПИЛ_10_6
Абитуриент 803,30,6,1,НЕ ПОСТУПИЛ_6_1
Абитуриент 835,30,6,1,НЕ ПОСТУПИЛ_6_1
Абитуриент 21,29,6,4,НЕ ПОСТУПИЛ_6_4
Абитуриент 27,29,1,6,НЕ ПОСТУПИЛ_1_6
Абитуриент 486,29,6,1,НЕ ПОСТУПИЛ_6_1
Абитуриент 741,29,6,7,НЕ ПОСТУПИЛ_6_7
Абитуриент 17,27,6,7,НЕ ПОСТУПИЛ_6_7
Абитуриент 272,27,6,1,НЕ ПОСТУПИЛ_6_1
