Абитуриент 57,74,7,1
Абитуриент 250,73,7,3
Абитуриент 266,73,7,9
Абитуриент 684,73,7,
Абитуриент 522,71,7,5
Абитуриент 718,71,7,5
Абитуриент 724,71,7,5
Абитуриент 943,71,7,9
Абитуриент 496,70,7,1
Абитуриент 811,69,7,6
Абитуриент 830,69,7,9
Абитуриент 954,69,7,4
Абитуриент 88,68,7,2
Абитуриент 565,68,7,9
Абитуриент 596,67,7,10
Абитуриент 71,66,7,10
Абитуриент 134,66,7,2
Абитуриент 638,65,7,8
Абитуриент 445,64,7,6
Абитуриент 204,63,7,10
Абитуриент 289,63,7,10
Абитуриент 608,62,7,10
Абитуриент 37,60,7,3
Абитуриент 226,60,7,9
Абитуриент 456,60,7,8
Абитуриент 710,59,7,2
Абитуриент 205,58,7,6
Абитуриент 508,58,7,5
Абитуриент 577,58,7,8
Абитуриент 709,57,7,6
Абитуриент 413,56,7,4
Абитуриент 698,55,7,6
Абитуриент 829,55,7,10
Абитуриент 124,54,7,8
Абитуриент 221,54,7,8
Абитуриент 566,54,7,5
Абитуриент 1007,54,7,3
Абитуриент 329,53,9,7
Абитуриент 744,53,7,2
Абитуриент 849,53,7,8
Абитуриент 130,51,7,8
Абитуриент 612,50,7,4
Абитуриент 16,49,7,1
Абитуриент 153,49,7,
Абитуриент 874,49,1,7
Абитуриент 424,48,7,4
Абитуриент 515,48,9,7
Абитуриент 777,47,7,8
Абитуриент 782,47,7,1
Абитуриент 95,46,7,6
Абитуриент 864,46,7,1,ПОД ВОПРОСОМ НА ПРОГРАММАХ 7
Абитуриент 605,45,7,,НЕ ПОСТУПИЛ_7_
Абитуриент 905,44,7,1,НЕ ПОСТУПИЛ_7_1
Абитуриент 224,43,9,7,НЕ ПОСТУПИЛ_9_7
Абитуриент 291,43,6,7,НЕ ПОСТУПИЛ_6_7
Абитуриент 774,43,7,,НЕ ПОСТУПИЛ_7_
Абитуриент 872,43,1,7,НЕ ПОСТУПИЛ_1_7
Абитуриент 965,43,9,7,НЕ ПОСТУПИЛ_9_7
Абитуриент 78,42,9,7,НЕ ПОСТУПИЛ_9_7
Абитуриент 568,42,7,10,НЕ ПОСТУПИЛ_7_10
Абитуриент 620,42,1,7,НЕ ПОСТУПИЛ_1_7
Абитуриент 136,41,7,10,НЕ ПОСТУПИЛ_7_10
Абитуриент 288,41,7,10,НЕ ПОСТУПИЛ_7_10
Абитуриент 439,41,7,1,НЕ ПОСТУПИЛ_7_1
Абитуриент 105,40,7,6,НЕ ПОСТУПИЛ_7_6
Абитуриент 654,40,5,7,НЕ ПОСТУПИЛ_5_7
Абитуриент 935,40,7,,НЕ ПОСТУПИЛ_7_
Абитуриент 469,39,2,7,НЕ ПОСТУПИЛ_2_7
Абитуриент 247,38,6,7,НЕ ПОСТУПИЛ_6_7
Абитуриент 425,37,7,10,НЕ ПОСТУПИЛ_7_10
Абитуриент 553,37,7,,НЕ ПОСТУПИЛ_7_
